Carico (N)	Deformazione (mm)	Sforzo (MPa)
445.14	370.66	30.030
444.65	371.08	29.998
445.66	371.50	30.066
446.26	371.92	30.106
446.37	372.33	30.113
446.99	372.75	30.155
447.60	373.17	30.197
448.33	373.59	30.246
449.09	374.01	30.297
450.06	374.43	30.362
449.96	374.85	30.356
450.81	375.27	30.413
451.18	375.69	30.438
450.94	376.11	30.422
451.39	376.52	30.452
451.83	376.94	30.482
452.27	377.36	30.511
453.24	377.78	30.577
453.29	378.20	30.580
454.55	378.62	30.665
454.19	379.04	30.641
455.01	379.46	30.696
455.40	379.88	30.723
455.65	380.30	30.739
455.99	380.71	30.762
456.78	381.13	30.816
457.46	381.55	30.862
457.97	381.97	30.896
458.58	382.39	30.937
458.44	382.81	30.928
459.00	383.23	30.965
459.84	383.65	31.022
460.50	384.07	31.067
461.60	384.49	31.141
461.47	384.90	31.132
461.85	385.32	31.158
462.22	385.74	31.183
463.52	386.16	31.271
463.29	386.58	31.255
463.61	387.00	31.276
463.94	387.42	31.299
464.31	387.84	31.324
464.67	388.26	31.348
465.93	388.68	31.433
465.95	389.10	31.434
466.49	389.51	31.471
467.19	389.93	31.518
468.19	390.35	31.586
468.13	390.77	31.581
468.91	391.19	31.634
469.25	391.61	31.657
469.35	392.03	31.664
470.27	392.45	31.726
470.69	392.87	31.754
470.26	393.29	31.725
471.71	393.70	31.823
472.29	394.12	31.862
472.58	394.54	31.882
473.39	394.96	31.936
473.68	395.38	31.956
473.98	395.80	31.976
474.27	396.22	31.996
474.26	396.64	31.995
475.63	397.06	32.087
475.94	397.48	32.109
476.39	397.89	32.139
477.08	398.31	32.185
477.03	398.73	32.182
477.85	399.15	32.237
478.12	399.57	32.255
478.80	399.99	32.301
479.71	400.41	32.363
480.41	400.83	32.410
480.74	401.25	32.432
481.01	401.67	32.450
481.57	402.09	32.488
481.87	402.51	32.508
482.64	402.93	32.560
483.17	403.34	32.596
483.69	403.76	32.631
484.20	404.18	32.665
484.61	404.60	32.693
484.41	405.02	32.679
485.83	405.44	32.775
486.10	405.86	32.794
486.22	406.27	32.802
485.85	406.70	32.777
486.53	407.11	32.823
486.44	407.53	32.817
487.15	407.95	32.864
487.89	408.37	32.914
488.03	408.79	32.924
488.32	409.21	32.943
488.63	409.63	32.964
489.17	410.05	33.000
489.48	410.47	33.022
490.03	410.89	33.058
490.85	411.30	33.114
491.48	411.72	33.157
491.97	412.14	33.189
492.01	412.56	33.193
492.38	412.98	33.218
492.91	413.40	33.253
493.64	413.82	33.302
494.20	414.24	33.340
494.58	414.66	33.366
495.13	415.08	33.403
494.45	415.50	33.357
494.56	415.92	33.364
494.83	416.33	33.383
495.10	416.75	33.401
495.27	417.17	33.412
494.61	417.59	33.368
494.81	418.01	33.381
2.1589	418.43	0.14565
